words,example
A Priori,"A priori, il y a 6 solutions, A posteriori, il y en a 6."
A Priori|Exhaustif,"A priori, je donne un critère non exhaustif, puis j'élague."
A posteriori,"A posteriori, cette hypothèse était donc vraie."
A posteriori,"Votre raisonnement est parfaitement correct, la fonction ln est non bornée en 0, il s'agit donc d'une intégrale généralisée et la réponse est a priori non triviale (mais a posteriori triviale, j'espère que vous n'avez pas oublié le discours !). Le critère de Riemann assure la convergence."
Ab imo pectore,"Je vous remercie ab imo pectore pour cette prestation fort convaincante !"
Ab imo pectore,"Juste un petit message pour vous notifier une pointe de déréliction ab  imo pectore ressentie face à la moyenne de cette classe…"
Ab irato,"On vitupère ab irato ?"
Abscons,"C'est très abscons ce que vous dites là…"
Abscons,"C'est un délire non moins abscons !"
Abstrusion,"C'est d'une abstrusion indicible !"
Acrimonie,"Car dans son élan acrimonieux, Diddlina, ainsi que Diddle auraient dû remarquer que la courbe que faisait le collier était une chaînette… un cosinus hyperbolique !!!"
Acrimonie|Fielleux,"Une petite acrimonie fielleuse ?"
Ad Patres,"Toto a un tonton d'Amérique richissime qui vient d'aller ad patres, laissant un héritage colossal. (cf. histoires)"
Ad Patres,"Toto ayant résolu la petite énigme édictée dans le testament du Tonton d'Armorique parti ad patres vient d'accéder à la ploutocratie : il est devenu richissime. Aujourd'hui, nous avons affaire à un grand expert de numismatique et brasse les valeurs fiduciaires à tour de bras. (cf. histoires)"
Ad augusta per angusta|Catabatique,"Pour le cas général, il faudra peut-être procéder ad augusta per angusta et adopter un modus opérandi suivant un vent catabatique…"
Ad hoc,"Je reconnais ne plus être original mais ce sont les mots ad hoc qui me viennent hic et nunc à l'esprit !"
Ad hoc,"Je vais choisir un N(0) ad hoc."
Ad libitum,"Et puis on continue de développer ad libitum."
Ad libitum,"On ne va pas tergiverser là-dessus ad libitum."
Ad litteram,"Cette formule s'applique bestialement, Ad litteram…."
Ad litteram,"Les exemples paradigmatiques, au moins, peuvent être pris ad litteram !"
Aduler|Génuflexion|Apostolique,"Vous avez aimé le 4ème degré ? Vous allez aduler dans une génuflexion apostolique le 5ème…"
Affidé,"Signé: Votre affidé stipendié. (cf. Correspondance)"
Affidé|Plénipotentiaire,"Chers affidés réunis en condominium plénipotentiaire, bonjour ! (cf. Correspondance)"
Affiquet,"Diddle s'est pris une bonne raclée verbale par Diddlina affublée de ses colifichets et autres affiquets en sustentation autour de son cou. (cf. Histoires)"
Aficionados,"Pour les aficionados des fonctions hyperboliques, vous pouvez démontrer le reste du formulaire trigonométrique…"
Alacrité,"Vous n'imaginez pas l'alacrité dans laquelle ça me plonge…"
Alambiqué,"M. Millon, ne nous servez pas vos ratiocinations ampoulées et alambiquées!"
Alambiqué,"M. Tschirhard! je vous croyais rhétoricien alambiqué et ampoulé, et il me semble pourtant que je viens d'ouïr une coprolalie venant de votre coté…"
Alea jacta est,"Alea jacta est ! [Après distribution des sujets…]"
Alinéa,"J'anticipe sur le deuxième alinéa."
Allégorie,"Quant à la chainette, que nous avions illustrée de manière allégorique la semaine dernière, nous y reviendrons plus loin dans le cours."
Almée,"Il pose alors la devinette suivante aux schtroumpfettes schtroumpfeuses qui n'avaient cessé de schtroumpfer (traduction de l'auteur : aux almées lascives qui n'avaient cessé de se trémousser) (cf. Histoires)"
Amphibologique,"Paralogique assertorique à tendance amphibologique"
Amphigourique,"Non dit par le prof, mais ajouté pour comprendre : Un amphigouri composé sur un air d’opéra."
Amphigourique,"…Byzantinisme amphigourique."
Amphitryon,"Pour parler sans ambiguïté, ce dîner à Sainte-Adresse, près du Havre, malgré les effluves embaumés de la mer, malgré les vins de très bons crus, les cuisseaux de veau et les cuissots de chevreuil prodigués par l'amphitryon, fut un vrai guêpier."
Anacoluthe,"bic fait, bien fait : c'est un anacoluthe !"
Anacréontique,"Titeuf qui n'a pas la plume particulièrement littéraire, et donc peu enclin à rédiger des épigrammes élégiaques ou anacréontiques, voire ossianiques…"
Anagogique,"Je vous sens plongés dans une pâmoison anagogique…"
Analepse,"Sans analepse superflue, je reprends le cours !"
Anamnèse,"Cet énoncé pourrait vous rappeler dans une anamnèse collective, le théorème d'Hospital (Guillou de son prénom)"
Anamnèse,"Vite ! Une petite anamnèse cathartique : les mondes concomitants, ce que j'écris, ce que je pense…"
Anathème,"Au risque de jeter quelque anathème imprécatoire…"
Anatidé,"Heureusement, il nous laisse ses potes les anatidés : Donald et Picsou. (cf. histoires)"
Andropause,"Lorenzaccio – caïd local – est continuellement en proie à des bouffées de chaleur, prémisses d'une andropause prodromique… (cf. Histoires)"
Animadversion,"Encore des animadversions intempestives ?"
Animadversion,"Pourquoi une telle animadversion envers Clarabelle ?"
Anthropomorphisme,"Après cette crise d'anthropomorphisme intempestive…"
Antinomique,"Bien qu'un sycophante bestial ne soit pas antinomique"
Antinomique,"Je regardais vers l'infini"
Antépénultième,"M Colliva, c'est une question sur l'antépénultième exercice que vous venez de poser…vous êtes vraiment en retard !"
Apagogie,"On tombe sur une apagogie irréfragable."
Apocatastase,"C'est à la limite de l'apocatastase."
Apocatastase,"Dans tous les cas, vous connaissez mon éternelle recherche de l'apocatastase ataraxique !"
Apocryphe,"Disons que ceci est une démonstration un peu apocryphe."
Apocryphe,"Je ferais une démonstration un peu plus apocryphe, si je puis me permettre."
Apodictique,"Et ça, ce n'était pas une pure trivialité apodictique"
Apodictique,"Un cercle est une courbe fermée dont tous les points sont équidistants du centre."
Apologétique,"Aurions-nous affaire à une apologie inendiguable ?"
Apologétique,"Mr Tschirardt, notre chantre apologétique toujours enclin à la capucinade rhétorique !"
Apopathodiaphulatophobe,"Une diatribe dithyrambique proche de la cacostomie, déconseillée aux Apopathodiaphulatophobes !"
Apophatique,"Diantre, devant une telle assemblée apophatique cela me méduse un brin."
Apophatique,"Un silence apophatique règne dans l'assistance…cela me méduse."
Apophtegme,"Avec cet apophtegme subliminaire, ca devrait être clair !"
Apophtegme,"…donc ne pas dire un apophtegme captieux dans ce cas là…"
Aporie|Rédhibitoire,"On tombe à présent sur une apagogie (resp. aporie) rédhibitoire."
Apostolique,"Mr Tschirardt, une petite révélation apostolique ?"
Aréopage|Zoïle,"Ventre-saint-gris ! Encore une comparution devant l'aréopage de zoïles coercitifs à tendance acrimonieuse ?"
Assentiment,"Merci de votre assentiment, M. Millon, et de votre satisfecit !"
Assertorique,"Ici encore, méfions-nous des paralogismes assertoriques (avec deux s)."
Assuétude,"Un fumeur en état d'assuétude exacerbée cherche à allumer une cigarette."
Assuétude,"Un petit exo pour ribaud du samedi soir en état d'assuétude…"
Ataraxique,"Je vous laisse à votre béatitude ataraxique"
Atavisme,"Toto ayant résolu la petite énigme édictée dans le testament du Tonton d'Armorique parti ad patres vient d'accéder à la ploutocratie : il est devenu richissime. Aujourd'hui, nous avons affaire à un grand expert de numismatique et brasse les valeurs fiduciaires à tour de bras. À son tour de jouer le tonton ""pawnbroker"" (dur l'atavisme !). (cf. histoires)"
Atrabilaire,"M. Duret, qu'est-ce qui suscite une telle réaction atrabilaire ?"
Atrabilaire,"M. Millon, notre atrabilaire de service à la verve exacerbée !"
Attentatoire|Ostentatoire,"Ne serait-ce pas là une attaque ostentatoire voire attentatoire d'un agent de la fonction publique dans l'exercice de ses fonctions ?"
Auguste,"Mlle Lamrani, aura-t-on l'honneur d'entendre votre auguste voix?"
Autodafé,"Encore un exercice et vous pourrez brûler cette feuille, ce qui constituerait un superbe autodafé."
Autodafé,"Si si, c'est bien ça, mais vous auriez pu (re)jeter un oeil sur vos  notes de cours de mathématiques du premier semestre, à moins qu'elles  n'aient subi quelque gigantesque autodafé…"
Automédon,"Mais l'histoire ne s'arrête pas là : notre Toto automédon a d'autres potes automédons et ils rappliquent tous avec une infinité de cars contenant une infinité de Totos ! (cf. histoires)"
Automédon|i.e.,"Notre Toto automédon (i.e. le chauffeur de car) dit : ""nous pouvons loger tout le monde !"" (cf. histoires)."
Bacchanales,"Ce retour de bacchanales vous plonge dans une liesse absolument inénarrable."
Bacchanales,"Un petit roboratif pour dimanche matin pour purger la lie engrangée au cours de quelque bacchanale dionysiaque !"
Bachique,"Je ne reste pas à Lyon, ce qui m'évite de fréquenter une pétaudière de sybarites dévoyés… Bonnes libations bachiques ! Évitez nonobstant les échansons égrillards…"
Bachique|Ménade,"Un petit exo pour dimanche matin pour purger la lie engrangée après avoir croisé quelque ménade bachique !"
Baroque,"Je ne suis pas sensible à l'art baroque"
Baroque,"Puisque, quoi que l'on puisse dire, je ne suis pas complètement insensible à l'art baroque…"
Bichette,"Ça te plait, bichette?"
Billevesée,"Merci pour votre participation à cette mégapantalonnade ubuesque! Billevesées, rodomontades, fadaises, coquecigrues, et tutti quanti…"
Bis repetita placent,"Bis repetita placent. Fallait bien que je sorte une phrase latine quand même."
Bis repetita placent,"Vous la connaissez pourtant cette formule…mais bon, bis repetita placent !"
Bonus track,"Allez, en bonus track, une histoire bidonnante de Toto !"
Bonus track,"Et en bonus track, la démonstration…"
Borborygme,"Qui aurait oser éructer des borborygmes méphitiques et empyreumatiques ? [À quelqu'un qui émettrait un son plus ou moins audible ou qui aurait quelques gargouillis…]"
Borborygme,"Vous éructez des borborygmes méphitiques…"
Bouge|Dipsomane|Impénitent,"<strong>Le prof :</strong> Le samedi soir, au lieu d'aller dans des bouges pour dipsomanes impénitents…<br /> <strong>L'amphi :</strong> Monsieur, c'est le gala !<br /> <strong>Le prof [un grand sourire] :</strong> Justement ! Faites plutôt cet exercice !<br />"
Boutade|Ataraxique,"J'ose espérer qu'il ne s'agit là que d'une simple boutade ataraxique…"
Boutade|Pantalonnade|Verba volant scripta manent,"Je pense que cette remarque interlope avait effectivement échappé de ma bouche devant une assistance en liesse, toujours en proie à quelque boutade amphibologique. Mais, ce n'est pas à vous que je vais l'apprendre, ""verba volant, scripta manent""… Etant donné le contexte socio-politique de cette méga-pantalonnade, il me semble fort raisonnable de s'en tenir aux écrits actuels…"
Byzantin,"C'est votre côté byzantin qui ressort"
Béjaune,"Elle lui hurle qu'il est :<br /> réponse a : un bélitre !<br /> réponse b : un béjaune !<br /> réponse c : un philistin !<br /> réponse d : un béotien !<br />"
Bélître,"Elle lui hurle qu'il est :<br /> <br /> réponse a : un bélître !<br /> réponse b : un béjaune !<br /> réponse c : un philistin !<br /> réponse d : un béotien !<br />"
Bélître,"Monsieur, vous n'êtes qu'un bélître.<br /> Réponse spirituelle : Comment ça, une belle huitre ?"
Cabale,"Ahah ! On manipule des petits symboles cabalistiques sans savoir ce que c'est ?"
Cabale,"Quelle cabale ésotérique !"
Cacochyme,"Cessez ces guerres cacochymes !"
Cacochyme|Pédotribe,"Diantre ! Cacochyme le pédotribe !!! Les années ne rendent pas la plume immarcescible…"
Cacographie,"Pardonnez cet instant de cacographie passagère."
Cacographie,"Quelle cacographie incoercible et exacerbée !"
Cacostomie,"Mais Vomito, qui est toujours en proie à quelques problèmes de cacostomie… (cf. Histoires)"
Cador,"Car, tant au niveau tè-ke-nik qu'au niveau ta-ke-tik, notre Toto godelureau n'est pas un cador de la littérature : l'art ossianique, les versets élégiaques, les sonnets rimbaldiens, ce n'est pas pour lui. (cf. Histoires)"
Camouflet,"M.Millon, un petit camouflet tendance pamphlétaire ?"
Capilotade,"L'exercice est mis en capilotade !"
Capilotade,"Si l'hypothèse n'est pas bonne le théorème peut être mis en capilotade."
Capricant,"Quelle gestuelle capricante…"
Captieux,"D'où la petite imprécision captieuse, à ce niveau-là."
Captieux|Assertorique,"Bien que ce ne soit qu'un paralogique assertorique à tendance captieuse."
Capucinade,"M Tschirhard, notre chantre apologique toujours enclin à la capucinade rhétorique !"
Cassandre,"Tous ces protagonistes ubuesques ne seraient-ils pas les cassandres d'une descente insidieuse vers la géhenne apocalyptique ? (Cf. Histoires)"
Cataphatique,"Bonne remarque ! J'ai cru que ça allait plonger la salle dans un silence cataphatique…"
Cataphatique,"C'est un silence cataphatique  !"
Caudataire,"Diantre! Vous êtes un caudataire d'une outrecuidance paroxystique!"
Caudataire|Affété,"Notre caudataire toujours enclin à quelque capucinade affétée !"
Cauteleux,"Mickey, notre sigisbée patelin, papelard, voire cauteleux, donc, invite une copine à la campagne. (Cf. Histoires)"
Chantre,"M. Tschirhard, notre chantre apologique toujours enclin à la capucinade alambiquée !"
Chantre,"M. Tschirhard, notre chantre apologique toujours enclin à la capucinade rhétorique !"
Chiche,"Allez chiche !"
Chiche,"Ne soyons pas chiche…"
Chouïa,"Chouïa, ça s'écrit comment, avec deux &quot;l&quot; ?"
Chouïa,"Mais la limite en l'infini, ce n'est pas 1 ! C'est 1 + un petit Chouïa"
Cicérone,"Votre humble cicérone (cf. Correspondance)"
Circonlocution,"L'homme qui intégrait plus vite que son ombre, et ce n'est pas une circonlocution !"
Circonvolution,"Après moult circonvolutions et paraphrases"
Clabauderie,"Quand cesserez-vous ces clabauderies ?"
Cloaque|Dyonisiaque,"Le samedi soir, au lieu d'aller dans les pandémoniums de ploutocrates concupiscents, où plutôt devrais je dire ces cloaques sybarites dyonisiaques, vous feriez mieux de redémontrer la formule d'interpolation de Lagrange, ou les équations de types chaleurs associés aux processus Markoviens."
Colifichet,"Posez donc tous ces colifichets et venez au tableau faire des mathématiques, des vraies !"
Comminatoire,"A ces mots, Mickey prit un ton comminatoire et lui adresse quelques privautés (cf les Histoires)"
Comminatoire,"Ne le parlez pas sur ce ton comminatoire ! Diantre, vous avez tort, un point c'est tout…"
Comparution,"M Tschirhard… Comparution immédiate au tableau."
Componction,"Je reconnais les faits qui me sont reprochés dans une indicible  componction…je vous rajoute donc le point injustement spolié !"
Componction,"Pour ceux qui recherchent l'apocatastase après componction, vous voilà servis !"
Compulsif,"Alors Toto est un peu versatile, et dans un élan bestialement compulsif, il simplifie ce méga-polynôme comme ça, pfuitt !"
Concaténation,"C'est une figure de style consistant dans l'enchaînement d'anadiploses sucessives."
Concaténation,"Lorsque vous additionnez, vous faites une simple concaténation en base 10."
Concomitant,"Merci, mais nous nous connaissons depuis assez longtemps pour que vous sachiez qu'il y a trois choses différentes : ce que je dis, ce que je pense, et ce que j'écris. Et cela fait trois mondes concomitants. Sans parler de ce que je ne dis pas, de ce que je n'écris pas, et de ce que je ne pense pas…"
Concomitant|Cathartique,"Vite ! Une petite  anamnèse cathartique : les mondes concomitants, ce que j'écris, ce que  je pense…"
Concupiscent,"Le samedi soir, au lieu d'aller dans les Pandémoniums de ploutocrates concupiscents, faites donc cet exemple non trivial."
Concussion,"…mais ayant toujours cette propension compulsive et incoercible à quelque malversation, prévarication et autre concussion, la prudence est de mise."
Condominium,"Chers affidés réunis en condominium plénipotentiaire, bonjour !(cf. Correspondance)"
Condominium|Oligarchique,"Diantre ! Aurais-je affaire à un cénacle exerçant son condominium oligarchique ?"
Coprolalie,"M Tschirhardt! je vous croyais rhétoricien alambiqué et ampoulé, et il me semble pourtant que je viens d'ouïr une coprolalie venant de votre coté…"
Coquecigrue,"Quelles fadaises de coquecigrue!"
Corroboratif,"Allez, un petit roboratif : la démonstration !"
Corroboratif,"Si je prends un exemple corroboratif et psychotrope."
Corroborer,"Ceci n'a pas l'effet corroboratif attendu"
Corroborer,"Ces exemples corroborent le résultat…"
Coruscant|Iconoclaste|Adamantin,"Il affiche une dentition adamantine et coruscante iconoclaste."
Coryphée,"Votre automédon, coryphée et autre psychopompe (cf. Correspondance)"
Coryphée,"Votre humble coryphée (qui n'a pas la prétention de se prendre pour un automédon psychopompe) (cf. Correspondance)"
Cynégétique,"Elmer spécialiste de cygénétique (Elmer le chasseur) à une vieille dette envers Bugs Bunny qu'il n'arrive jamais à attraper… (cf Histoires)"
Cénacle,"diantre ! Aurais-je affaire à un cénacle exerçant son condominium oligarchique ?"
Cénacle|Résipiscence,"Un petit exo cathartique pour amener à résipiscence ceux qui auraient fréquenté un cénacle de soudards dévoyés…"
Cénotaphe,"Je pense qu'un jour, on vous érigera un cénotaphe…"
Deus ex machina,"Deus ex machina !"
Diantre,"<strong>Elève :</strong> Et là je dérive…<br /><strong>Prof</strong> : Diantre ! Pas encore !"
Diantre|Ostracisme,"Diantre ! Une pointe d'ostracisme envers un agent de la fonction publique hors de l'exercice de ses fonctions ? Cela risque de ne pas vous coûter grand-chose, si ce n'est quelque anathème imprécatoire ab imo pectore !"
Dilatoire,"Après moult conversations dilatoires"
Dilatoire|Atermoiement,"Après ces quelques atermoiements dilatoires"
Dipsomane,"Les responsables de l'OT Probas-Stats envoient leurs plus sincères satisfecits à l'affidé Poulain pour sa prestation lors de la petite formalité terminale : un ""zéro-faute"" sur toute la copie (seule la toute dernière question n'a pas été traitée) ! Si un jour la modélisation aléatoire (via la marche aléatoire du dipsomane impénitent ou le mouvement brownien voire lachalien) le tente…"
Disert,"Notre panégyriste apologétique au ramage disert !"
Dithyrambique,"Une diatribe dithyrambique proche de la cacostomie, déconseillée aux apopathodiaphulatophobes !"
Doxologie|Irréfragable,"C'est une doxologie irréfragable tendance captieuse."
Doxologie|Irréfragable,"Ça sent encore la doxologie irréfragable"
Déblatérer,"Arrêtez de déblatérer, vil individu méphistophélique."
Déblatérer,"On a pris du retard à force de déblatérer toutes formes de rodomontades…"
Défalcation,"Après défalcation, le nouveau taux pour Toto sera alors de 2%, ce qui nous donne bien le résultat cherché."
Défalcation,"Non dit par le prof, mais ajouté pour comprendre :<br />Après défalcation des frais, il devrait rester mille francs."
Déliquescence,"C'est la déliquescence à l'état pur!"
Déréliction,"Ca me plonge dans une déreliction endémique…"
Déshérence,"Ce théorème est en déshérence !"
Déshérence,"Mais Tonton (pas Toto) avait tout prévu car il avait pris soin de rédiger dans son testament un codicille suspensif stipulant in extenso que tout héritier surnuméraire, disons Toto 2nd, qui oserait prétendre à quelque part que ce soit devrait résoudre une énigme posée par Toto (disons Toto 1er) s'il veut acquérir sa part et éviter la déshérence. (cf les Histoires)"
Détracteur,"À l'aréopage de détracteurs coercitifs insatiables exerçant son condominium oligarchique (cf. Correspondance)"
E.g.,"Il faut M>10, e.g 11."
Eburnéen,"Il a une copine qui s'appelle Nadia, jeune odalisque au sourire lilial et séraphique et à la dentition adamantine, coruscante, voire éburnéenne, dont il est secrètement épris. (cf. Histoires)"
Empyreumatique,"Fermons la fenêtre pour évacuer les odeurs empyreumatiques qui pourraient se dégager d'ici 5 minutes."
Empyreumatique,"Vite, ouvrons la fenêtre afin d'évacuer ces exhalaisons méphitiques et empyreumatiques !"
En tapinois,"Vous me fustigez en tapinois!"
Endiguer,"M Barret ! Quelle prolixité aujourd'hui… Peut être qu'un jour vous réussirez à l'endiguer …"
Endémique,"Ça me plonge dans une déréliction endémique…"
Engramme,"Nonobstant, je vais m'arroger incontinent quelques vacances, j'ai quelques théorèmes sur le feu qu'il faut que je rédige maintenant pour laisser des engrammes à la postérité…"
Epsilon,"Epsilon fois Epsilon, ça fait un Mega Epsilon !"
Erythrophobie,"Il lui propose de partir d'Ici et d'aller à Donf distante d'Ici de 3000 km et ce, en 3 heures ! A ces propos, Nadia est prise d'une crise d'érythrophobie, Titeuf se ravise et propose plutôt 300 km en 3 heures, soyons raisonnable : vitesse moyenne 100 km/h. (cf. Histoires)"
Escarcelle,"L'exercice 8, vous le mettez dans votre escarcelle pour plus tard…"
Escarcelle,"Ne cachez point vos escarcelles !"
Esotérique,"Ne vous inquiétez pas; ceci n'est qu'une cabale ésotérique."
Ex Abrupto,"J'en sais rien comme ça, ex abrupto…z'auriez pas un petit papier par hasard ?"
Ex Abrupto,"M Tschirhard, allez donc me faire ce DL ex abrupto dans un coin de votre feuille…"
Ex Cathedra,"Il s'agit d'une définition ex cathedra !"
Ex Nihilo,"Comme ça, ex nihilo"
Ex Nihilo,"Je voulais vous faire manipuler les formes développées ex nihilo"
Ex Voto,"Eh bien dites donc…je vous conseille sincèrement d'aller poser un ex-voto, vu votre chance aujourd'hui…"
Exhaustif,"Un exemple qui n'est ni significatif ni exhaustif…."
Exsuder,"Soudain jaillit une idée de sa plume qui commence à exsuder ! (cf. Histoires)"
Factotum|Remugle,"Votre humble factotum qui ne souhaite pas sentir le remugle… (cf. Correspondance)"
Fallacieux,"C'est un peu fallacieux, voire même fastidieux…"
Fastidieux,"C'est un peu fallacieux, voire fastidieux."
Fluctuat nec mergitur,"Fluctuat nec mergitur ! [le jour de l'interro…]"
Forfaiture,"Toto 1er qui entend bien s'arroger subrepticement une part léonine, et pour qui une forfaiture ou félonie n'est jamais de trop, fit mine d'accepter, magnanime, la règle du jeu et pose à Toto 2nd le problème suivant : […] (cf. Histoires)"
Fuligineux,"Vous avez un raisonnement fuligineux"
Fustiger|Catimini,"Mlle Guisuma, vous fustigez en catimini ?"
Galantin,"Mais ce n'est pas vraiment le genre de notre pauvre galantin. (cf. Histoires)"
Galimatias,"C'est un galimatias amphigourique…"
Galvaniser,"Je vous sens complètement galvanisés !"
Gibecière,"On le sort de notre gibecière."
Giga X,"Mais non pas grand X ! Il y en a déjà un ! mettez un Giga X !"
Glose,"Mr Moulin, quelques gloses supplétives?"
Glose,"Si je puis me permettre une petite glose personnelle…"
Glossolalie,"Pourrais-je me permettre une nouvelle exégèse des petits récits étiologiques contenant certains vocables qui auraient échappé à vos oreilles (petit problème de dysacousie ? à moins qu'une crise de glossolalie pernicieuse n'ait endiguée certains de mes propos ""à l'insu de mon plein gré""…) ?"
Glossolalie|Palilalie,"Une petite crise de palilalie, de glossolalie, de psittacisme ? [À quelqu'un qui bafouille]"
Gouaillerie,"Ce n'est point là qu'une vulgaire gouaillerie."
Gouaillerie,"Vous êtes d'une gouaillerie exacerbée aujourd'hui !"
Gourdiflot,"Gourdiflot erratique !"
Géhenne,"Bon, maintenant pour être un peu plus prosaïque, il va falloir se remettre au travail qui devient poussif !!! Mais je suis sûr qu'en deux mois, le pinacle sera à portée de main…En espérant que la géhenne apocalyptique de la fin de l'année n'aura pas été trop douloureuse, je vous souhaite à tous de bonnes vacances (pas trop sybaritiques, isnt'it?)"
Géhenne,"Ne vous laisser pas aller à une déréliction endémique qui pourrait vous conduire dans les abysses d'une géhenne apocalyptique…"
Génuflexion,"Vous allez aduler dans une génuflexion ataraxique la démonstration de ce théorème…"
Hexakosioihexekontahexaphobe,"Au risque de croiser quelque ribaud hédoniste et dévoyé, un petit exo pour samedi soir… attention, il n'est pas recommandé aux hexakosioihexekontahexaphobes !"
Hic et nunc,"Venez Hic Et Nunc !"
Hippobosque,"Mickey notre sigisbée patelin international voire œcuménique, ayant bien joué avec les stomoxes, mélophages et autres hippobosques, considère qu'après une telle gloire il préfère se retirer sous les vivats et satisfecits d'une foule en liesse. (cf. Histoires)"
Histrion,"Fais rire le parterre, histrion qui ânonne, avalant la voyelle et toussant la consonne !"
Hiérodule,"Cher hiérodule informaticien (cf. Correspondance)"
Hédoniste,"Au risque de croiser quelque ribaud hédoniste et dévoyé, un petit exo pour samedi soir…"
Idiosyncrasie|Primesautier,"C'est une belle idiosyncrasie primesautière…"
Idoine,"C'est un moment idoine."
Idoine,"Par quelle expression idoine faut-il multiplier?"
Immarcescible,"J'aspire à un oecuménisme immarcescible, ou prépare seulement une célébrité (disons une gloriole) qui sera un jour peut-être posthume (diantre, quelle fatuité exacerbée !)…"
Immarcescible,"Votre pétulance n'est pas immarcescible, alors…carpe diem ! (notez le paralogisme) (cf. Histoires)"
Imparidigité|Mésaxonien,"Un petit exo pour périssodactyles, mésaxoniens et autres imparidigités…"
Imprécatoire,"diantre ! Une pointe d'ostracisme envers un agent de la fonction publique hors de l'exercice de ses fonctions ? Cela risque de ne pas vous coûter grand-chose, si ce n'est quelque anathème imprécatoire ab imo pectore !"
Imprécatoire|Admonestation,"Encore des admonestations imprécatoires ?"
In Fine,"In fine, Toto bis se rappelle qu'il s'appelle comme cela parce que bis rime avec finesse…"
